# apertures (x>=0 half) from screen_pos.stl [aligned, manifold-clean], SI metres
# x y z nx ny nz r_ap
-7.41484269e-06 7.87673913e-02 2.54371658e-02  4.21909197e-05 -4.48191394e-01 8.93937622e-01  2.50717679e-03
-1.14393968e-06 8.59208791e-02 2.92323945e-02  6.50908848e-06 -4.88895189e-01 8.72342533e-01  2.49104519e-03
7.12547281e-03 -4.05398230e-03 6.98854498e-03  -4.05443870e-02 2.30674134e-02 9.98911431e-01  2.75543582e-03
7.12451919e-03 4.09741379e-03 6.98951459e-03  -4.05389608e-02 -2.33145413e-02 9.98905914e-01  2.78917794e-03
8.17193298e-03 -8.54978723e-02 2.92137054e-02  -4.64988110e-02 4.86488253e-01 8.72448875e-01  2.53180499e-03
8.25351193e-03 -7.83631579e-02 2.54518159e-02  -4.69630003e-02 4.45891281e-01 8.93854262e-01  2.54651356e-03
8.31776632e-03 -7.09604167e-02 2.19753054e-02  -4.73286118e-02 4.03769219e-01 9.13635825e-01  2.55370845e-03
8.31989217e-03 -6.34142857e-02 1.88482746e-02  -4.73407080e-02 3.60831261e-01 9.31428826e-01  2.57661285e-03
8.37338929e-03 -5.56805825e-02 1.60614131e-02  -4.76451100e-02 3.16826005e-01 9.47286243e-01  2.63360319e-03
8.34535641e-03 -2.30558559e-02 8.51612283e-03  -4.74856011e-02 1.31189265e-01 9.90219417e-01  2.73218195e-03
8.19220325e-03 -1.41279279e-02 7.55767951e-03  -4.66141501e-02 8.03887956e-02 9.95673020e-01  2.73224470e-03
8.17193298e-03 1.41189655e-02 7.55600832e-03  -4.64988110e-02 -8.03377989e-02 9.95682529e-01  2.78909914e-03
8.33264727e-03 2.30500000e-02 8.51473813e-03  -4.74132853e-02 -1.31155945e-01 9.90227296e-01  2.74429778e-03
8.36955203e-03 4.77857143e-02 1.36257433e-02  -4.76232757e-02 -2.71903710e-01 9.61145356e-01  2.65873566e-03
8.39742318e-03 5.56823529e-02 1.60632158e-02  -4.77818643e-02 -3.16836079e-01 9.47275985e-01  2.62150433e-03
8.30193298e-03 6.34150000e-02 1.88476395e-02  -4.72385191e-02 -3.60835325e-01 9.31432440e-01  2.59670729e-03
8.29822164e-03 7.09958763e-02 2.19899696e-02  -4.72174014e-02 -4.03970987e-01 9.13552384e-01  2.56387783e-03
8.24298561e-03 7.84315789e-02 2.54854129e-02  -4.69031049e-02 -4.46280601e-01 8.93663093e-01  2.54489528e-03
8.14236309e-03 8.55419355e-02 2.92367104e-02  -4.63305564e-02 -4.86738975e-01 8.72317975e-01  2.51667258e-03
8.46479013e-03 -4.77809524e-02 1.36291421e-02  -4.81651865e-02 2.71876614e-01 9.61126017e-01  2.65700546e-03
8.48674780e-03 -3.97370370e-02 1.15590542e-02  -4.82901270e-02 2.26106232e-01 9.72904947e-01  2.69573200e-03
8.47748854e-03 -3.15009259e-02 9.85138695e-03  -4.82374412e-02 1.79242243e-01 9.82621681e-01  2.69497270e-03
8.49074032e-03 3.14605505e-02 9.84467787e-03  -4.83128447e-02 -1.79012504e-01 9.82659856e-01  2.70714242e-03
8.42660588e-03 3.97392523e-02 1.15565945e-02  -4.79479157e-02 -2.26118837e-01 9.72918943e-01  2.68400200e-03
1.41922033e-02 -8.12792793e-03 7.55988344e-03  -8.07545262e-02 4.62484194e-02 9.95660479e-01  2.73224470e-03
1.41719330e-02 8.11896552e-03 7.55782450e-03  -8.06391871e-02 -4.61974228e-02 9.95672195e-01  2.78909914e-03
1.57522901e-02 -1.87848214e-02 8.51550999e-03  -8.96315183e-02 1.06886812e-01 9.90222904e-01  2.74461073e-03
1.57810239e-02 1.87500000e-02 8.51435803e-03  -8.97950152e-02 -1.06688675e-01 9.90229459e-01  2.71996681e-03
1.62982771e-02 -8.43935484e-02 2.92503571e-02  -9.27382183e-02 4.80204581e-01 8.72240324e-01  2.51958246e-03
1.64056286e-02 -7.70206522e-02 2.54276932e-02  -9.33490554e-02 4.38252339e-01 8.93991522e-01  2.50286261e-03
1.62645256e-02 -2.82000000e-02 9.83864397e-03  -9.25461701e-02 1.60459768e-01 9.82694189e-01  2.69406530e-03
